School Name,Longitude,Latitude,Sequence
Adams Elementary School,-122.376785,47.684622,0
Adams Elementary School,-122.37678,47.683225,1
Adams Elementary School,-122.376774,47.68143,2
Adams Elementary School,-122.376774,47.681334,3
Adams Elementary School,-122.37677,47.679546,4
Adams Elementary School,-122.376769,47.679381,5
Adams Elementary School,-122.376766,47.678412,6
Adams Elementary School,-122.376765,47.677699,7
Adams Elementary School,-122.376764,47.677449,8
Adams Elementary School,-122.376763,47.677279,9
Adams Elementary School,-122.376757,47.676696,10
Adams Elementary School,-122.37676,47.676696,11
Adams Elementary School,-122.37676,47.676521,12
Adams Elementary School,-122.37676,47.676518,13
Adams Elementary School,-122.376759,47.676379,14
Adams Elementary School,-122.376755,47.676345,15
Adams Elementary School,-122.376725,47.676268,16
Adams Elementary School,-122.376696,47.67622,17
Adams Elementary School,-122.376652,47.676163,18
Adams Elementary School,-122.376574,47.67609,19
Adams Elementary School,-122.376541,47.676059,20
Adams Elementary School,-122.376431,47.675997,21
Adams Elementary School,-122.376419,47.675989,22
Adams Elementary School,-122.376402,47.675979,23
Adams Elementary School,-122.376373,47.675956,24
Adams Elementary School,-122.376373,47.675956,25
Adams Elementary School,-122.376373,47.675956,26
Adams Elementary School,-122.37631,47.675897,27
Adams Elementary School,-122.376249,47.675817,28
Adams Elementary School,-122.376215,47.675749,29
Adams Elementary School,-122.376211,47.675642,30
Adams Elementary School,-122.376211,47.675284,31
Adams Elementary School,-122.376211,47.675214,32
Adams Elementary School,-122.376211,47.675185,33
Adams Elementary School,-122.376211,47.674742,34
Adams Elementary School,-122.376211,47.674159,35
Adams Elementary School,-122.376211,47.673589,36
Adams Elementary School,-122.376211,47.673066,37
Adams Elementary School,-122.376211,47.672554,38
Adams Elementary School,-122.376211,47.672478,39
Adams Elementary School,-122.376212,47.672295,40
Adams Elementary School,-122.376212,47.67163,41
Adams Elementary School,-122.376213,47.670429,42
Adams Elementary School,-122.376213,47.670387,43
Adams Elementary School,-122.376214,47.670014,44
Adams Elementary School,-122.376214,47.669166,45
Adams Elementary School,-122.376217,47.667163,46
Adams Elementary School,-122.376218,47.666388,47
Adams Elementary School,-122.376219,47.66505,48
Adams Elementary School,-122.376219,47.66505,49
Adams Elementary School,-122.376219,47.665048,50
Adams Elementary School,-122.376221,47.663363,51
Adams Elementary School,-122.376211,47.662621,52
Adams Elementary School,-122.376222,47.661846,53
Adams Elementary School,-122.376222,47.661846,54
Adams Elementary School,-122.376226,47.661633,55
Adams Elementary School,-122.376226,47.661616,56
