School Name,Longitude,Latitude,Sequence
Ballard High School,-122.3553019,47.69059514,0
Ballard High School,-122.3552481,47.67801312,1
Ballard High School,-122.3546151,47.6775998,2
Ballard High School,-122.3543596,47.67711559,3
Ballard High School,-122.3543563,47.67656481,4
Ballard High School,-122.3543586,47.67616452,5
Ballard High School,-122.3543618,47.67457017,6
Ballard High School,-122.3543948,47.67047296,7
Ballard High School,-122.3541985,47.6650202,8
Ballard High School,-122.3539806,47.66214069,9
Ballard High School,-122.35417,47.66149692,10
Ballard High School,-122.3511816,47.66139582,11
Ballard High School,-122.3473282,47.66137277,12
Ballard High School,-122.3473375,47.65945549,13
Ballard High School,-122.3472593,47.64921617,14
Ballard High School,-122.3473087,47.64922358,15
Ballard High School,-122.3472911,47.64648618,16
Ballard High School,-122.345524,47.64562981,17
Ballard High School,-122.3428387,47.644946,18
Ballard High School,-122.3385712,47.64299485,19
Ballard High School,-122.3365991,47.64209309,20
Ballard High School,-122.3373032,47.64187225,21
Ballard High School,-122.3382867,47.62933418,22
Ballard High School,-122.3384834,47.62622286,23
Ballard High School,-122.3386481,47.62579081,24
Ballard High School,-122.3397411,47.62539175,25
Ballard High School,-122.3403964,47.62523639,26
Ballard High School,-122.3411783,47.62499817,27
Ballard High School,-122.3423491,47.62454972,28
Ballard High School,-122.3434833,47.62390132,29
Ballard High School,-122.3503553,47.61858192,30
Ballard High School,-122.3541474,47.61859703,31
Ballard High School,-122.3567563,47.61860708,32
Ballard High School,-122.3573313,47.61860929,33
Ballard High School,-122.358503,47.61863857,34
Ballard High School,-122.3566928,47.61727284,35
Ballard High School,-122.3572011,47.61687091,36
Ballard High School,-122.3578052,47.61673584,37
Ballard High School,-122.3583833,47.61673575,38
Ballard High School,-122.3600383,47.61673549,39
Ballard High School,-122.3615233,47.61674045,40
Ballard High School,-122.3644355,47.61921361,41
Ballard High School,-122.3660721,47.61990441,42
Ballard High School,-122.3703573,47.62318542,43
Ballard High School,-122.3746717,47.62482972,44
Ballard High School,-122.3770999,47.62529065,45
Ballard High School,-122.378088,47.62531434,46
Ballard High School,-122.3794601,47.62494219,47
Ballard High School,-122.3841943,47.62503917,48
Ballard High School,-122.3845295,47.62504602,49
Ballard High School,-122.3848894,47.62524768,50
Ballard High School,-122.3853569,47.62550964,51
Ballard High School,-122.3857966,47.62623294,52
Ballard High School,-122.3858408,47.6301067,53
Ballard High School,-122.3870863,47.63000048,54
Ballard High School,-122.3881867,47.62939149,55
Ballard High School,-122.3908021,47.62859207,56
Ballard High School,-122.3921709,47.62857286,57
Ballard High School,-122.3956501,47.62910905,58
Ballard High School,-122.3967501,47.62961001,59
Ballard High School,-122.3974676,47.63030557,60
Ballard High School,-122.4029498,47.63199134,61
Ballard High School,-122.4069749,47.6336962,62
Ballard High School,-122.4138824,47.63753067,63
Ballard High School,-122.4147652,47.63838535,64
Ballard High School,-122.4170525,47.63977766,65
Ballard High School,-122.4193527,47.6427038,66
Ballard High School,-122.4198849,47.64492164,67
Ballard High School,-122.419542,47.64842165,68
Ballard High School,-122.4224202,47.65261203,69
Ballard High School,-122.4252493,47.65464398,70
Ballard High School,-122.4265881,47.65620541,71
Ballard High School,-122.4281278,47.65734663,72
Ballard High School,-122.437406,47.66082743,73
Ballard High School,-122.4380597,47.66161871,74
Ballard High School,-122.4379202,47.66256726,75
Ballard High School,-122.4373399,47.66311274,76
Ballard High School,-122.4362804,47.66351223,77
Ballard High School,-122.4320136,47.66410172,78
Ballard High School,-122.426458,47.66637899,79
Ballard High School,-122.424111,47.66857401,80
Ballard High School,-122.4196937,47.67024666,81
Ballard High School,-122.4168557,47.67180015,82
Ballard High School,-122.4120818,47.67287123,83
Ballard High School,-122.4100705,47.67302298,84
Ballard High School,-122.4108067,47.67450583,85
Ballard High School,-122.4118961,47.67539426,86
Ballard High School,-122.4118858,47.67698271,87
Ballard High School,-122.4111147,47.67777819,88
Ballard High School,-122.4092951,47.67834778,89
Ballard High School,-122.4079031,47.68085325,90
Ballard High School,-122.4069488,47.68167037,91
Ballard High School,-122.4056946,47.68372542,92
Ballard High School,-122.4055175,47.68492,93
Ballard High School,-122.4060151,47.68589018,94
Ballard High School,-122.4054271,47.68971315,95
Ballard High School,-122.4060486,47.6903886,96
Ballard High School,-122.4035377,47.69042786,97
Ballard High School,-122.3996838,47.69050879,98
Ballard High School,-122.3914793,47.69057304,99
Ballard High School,-122.3842392,47.69058598,100
Ballard High School,-122.3809021,47.69059641,101
Ballard High School,-122.3795153,47.69060197,102
Ballard High School,-122.369758,47.69064074,103
Ballard High School,-122.3668249,47.69067063,104
Ballard High School,-122.3659136,47.69065864,105
Ballard High School,-122.3640202,47.69064437,106
Ballard High School,-122.3596745,47.6906199,107
Ballard High School,-122.3572572,47.69060623,108
Ballard High School,-122.3553019,47.69059514,109
Franklin High School,-122.2834215,47.5898405,110
Franklin High School,-122.2829919,47.58859017,111
Franklin High School,-122.2837643,47.58569364,112
Franklin High School,-122.2854832,47.58402428,113
Franklin High School,-122.2834252,47.58264293,114
Franklin High School,-122.2820622,47.58086154,115
Franklin High School,-122.2802518,47.57670496,116
Franklin High School,-122.2787899,47.57471987,117
Franklin High School,-122.2783992,47.57300051,118
Franklin High School,-122.2770663,47.57317435,119
Franklin High School,-122.2758177,47.57283019,120
Franklin High School,-122.2747419,47.57167447,121
Franklin High School,-122.2724949,47.57054652,122
Franklin High School,-122.2710967,47.56941658,123
Franklin High School,-122.2696935,47.56940944,124
Franklin High School,-122.2685258,47.56902907,125
Franklin High School,-122.2665279,47.5673825,126
Franklin High School,-122.2651477,47.56624501,127
Franklin High School,-122.2646877,47.56479557,128
Franklin High School,-122.2640786,47.56398558,129
Franklin High School,-122.264078,47.5639354,130
Franklin High School,-122.2640703,47.56323419,131
Franklin High School,-122.2632862,47.56282106,132
Franklin High School,-122.2627633,47.5625456,133
Franklin High School,-122.2620776,47.56112023,134
Franklin High School,-122.2614049,47.55972193,135
