School Name,Longitude,Latitude,Sequence
David T. Denny International School,-122.368437,47.55089,0
David T. Denny International School,-122.368476,47.550019,1
David T. Denny International School,-122.365579,47.550012,2
David T. Denny International School,-122.365579,47.550123,3
David T. Denny International School,-122.36456,47.550117,4
David T. Denny International School,-122.364348,47.550116,5
David T. Denny International School,-122.36301,47.550109,6
David T. Denny International School,-122.36179,47.550099,7
David T. Denny International School,-122.359727,47.546542,8
David T. Denny International School,-122.359922,47.546527,9
David T. Denny International School,-122.361145,47.546509,10
David T. Denny International School,-122.362763,47.546398,11
David T. Denny International School,-122.362896,47.546668,12
David T. Denny International School,-122.363067,47.546442,13
David T. Denny International School,-122.363832,47.546432,14
David T. Denny International School,-122.364563,47.546451,15
David T. Denny International School,-122.364705,47.546446,16
David T. Denny International School,-122.365587,47.546497,17
David T. Denny International School,-122.365614,47.545969,18
David T. Denny International School,-122.365618,47.545536,19
David T. Denny International School,-122.365645,47.545141,20
David T. Denny International School,-122.365728,47.53988,21
David T. Denny International School,-122.365723,47.539878,22
David T. Denny International School,-122.365594,47.539783,23
David T. Denny International School,-122.365488,47.539672,24
David T. Denny International School,-122.364589,47.538353,25
David T. Denny International School,-122.36431,47.537972,26
David T. Denny International School,-122.364092,47.537699,27
David T. Denny International School,-122.363923,47.537561,28
David T. Denny International School,-122.363694,47.537437,29
David T. Denny International School,-122.363421,47.537365,30
David T. Denny International School,-122.363136,47.537341,31
David T. Denny International School,-122.36279,47.537358,32
David T. Denny International School,-122.362536,47.537413,33
David T. Denny International School,-122.362401,47.537258,34
David T. Denny International School,-122.362132,47.537142,35
David T. Denny International School,-122.361951,47.537045,36
David T. Denny International School,-122.361796,47.536937,37
David T. Denny International School,-122.361661,47.536813,38
David T. Denny International School,-122.36156,47.536688,39
David T. Denny International School,-122.361484,47.536558,40
David T. Denny International School,-122.361334,47.536121,41
David T. Denny International School,-122.361259,47.53589,42
David T. Denny International School,-122.361259,47.53589,43
David T. Denny International School,-122.361258,47.535887,44
David T. Denny International School,-122.361201,47.535711,45
David T. Denny International School,-122.36114,47.535523,46
David T. Denny International School,-122.361134,47.535505,47
David T. Denny International School,-122.361025,47.535246,48
David T. Denny International School,-122.361025,47.535246,49
David T. Denny International School,-122.361025,47.535246,50
David T. Denny International School,-122.360832,47.534783,51
David T. Denny International School,-122.360618,47.534307,52
David T. Denny International School,-122.360618,47.534307,53
David T. Denny International School,-122.360606,47.534271,54
David T. Denny International School,-122.360597,47.53426,55
David T. Denny International School,-122.360548,47.534152,56
David T. Denny International School,-122.360547,47.53415,57
David T. Denny International School,-122.360514,47.534092,58
David T. Denny International School,-122.360497,47.53402,59
David T. Denny International School,-122.360481,47.533971,60
David T. Denny International School,-122.360477,47.533956,61
David T. Denny International School,-122.360471,47.533935,62
David T. Denny International School,-122.360469,47.533927,63
David T. Denny International School,-122.360457,47.533871,64
David T. Denny International School,-122.360445,47.533807,65
David T. Denny International School,-122.360434,47.533742,66
David T. Denny International School,-122.360434,47.533742,67
David T. Denny International School,-122.360431,47.533727,68
David T. Denny International School,-122.360429,47.533706,69
David T. Denny International School,-122.360425,47.533692,70
David T. Denny International School,-122.360424,47.533692,71
David T. Denny International School,-122.360424,47.533692,72
David T. Denny International School,-122.360443,47.531874,73
David T. Denny International School,-122.360443,47.531853,74
David T. Denny International School,-122.359094,47.531872,75
David T. Denny International School,-122.359093,47.531872,76
David T. Denny International School,-122.356396,47.531869,77
David T. Denny International School,-122.355045,47.531868,78
David T. Denny International School,-122.354432,47.531873,79
David T. Denny International School,-122.348056,47.531926,80
David T. Denny International School,-122.346779,47.531943,81
David T. Denny International School,-122.346823,47.532691,82
David T. Denny International School,-122.34687,47.532924,83
David T. Denny International School,-122.346958,47.533305,84
David T. Denny International School,-122.347059,47.533741,85
David T. Denny International School,-122.34707,47.534078,86
David T. Denny International School,-122.347091,47.534396,87
David T. Denny International School,-122.347162,47.534784,88
David T. Denny International School,-122.34716,47.534823,89
David T. Denny International School,-122.34709,47.536395,90
David T. Denny International School,-122.346396,47.538767,91
David T. Denny International School,-122.346245,47.539015,92
David T. Denny International School,-122.34614,47.539189,93
David T. Denny International School,-122.345821,47.539484,94
David T. Denny International School,-122.345248,47.539729,95
David T. Denny International School,-122.343733,47.540185,96
David T. Denny International School,-122.3432,47.540272,97
David T. Denny International School,-122.342181,47.540353,98
David T. Denny International School,-122.341458,47.540411,99
David T. Denny International School,-122.341029,47.540427,100
David T. Denny International School,-122.340796,47.540407,101
David T. Denny International School,-122.340433,47.540366,102
David T. Denny International School,-122.339178,47.540137,103
David T. Denny International School,-122.337089,47.539774,104
David T. Denny International School,-122.336253,47.53966,105
David T. Denny International School,-122.33596,47.539603,106
David T. Denny International School,-122.335744,47.539538,107
David T. Denny International School,-122.335539,47.539457,108
David T. Denny International School,-122.33542,47.539399,109
David T. Denny International School,-122.335227,47.53929,110
David T. Denny International School,-122.335079,47.539187,111
David T. Denny International School,-122.335149,47.540004,112
David T. Denny International School,-122.335156,47.540376,113
David T. Denny International School,-122.335142,47.540593,114
David T. Denny International School,-122.33513,47.540693,115
David T. Denny International School,-122.335113,47.540835,116
David T. Denny International School,-122.335061,47.541137,117
David T. Denny International School,-122.33501,47.541343,118
David T. Denny International School,-122.33494,47.541598,119
David T. Denny International School,-122.334753,47.54228,120
David T. Denny International School,-122.334764,47.54236,121
David T. Denny International School,-122.334795,47.542578,122
David T. Denny International School,-122.334813,47.542704,123
David T. Denny International School,-122.334078,47.541984,124
David T. Denny International School,-122.333473,47.541392,125
David T. Denny International School,-122.333402,47.541322,126
David T. Denny International School,-122.332555,47.540777,127
David T. Denny International School,-122.330602,47.53952,128
David T. Denny International School,-122.322496,47.534303,129
David T. Denny International School,-122.322019,47.534012,130
David T. Denny International School,-122.32198,47.533988,131
David T. Denny International School,-122.31835,47.531768,132
David T. Denny International School,-122.318335,47.531759,133
David T. Denny International School,-122.31741,47.531193,134
David T. Denny International School,-122.315059,47.529756,135
David T. Denny International School,-122.311592,47.527761,136
David T. Denny International School,-122.310623,47.527203,137
David T. Denny International School,-122.310042,47.526869,138
David T. Denny International School,-122.309176,47.525708,139
David T. Denny International School,-122.309044,47.525363,140
David T. Denny International School,-122.307438,47.521181,141
David T. Denny International School,-122.305647,47.516513,142
David T. Denny International School,-122.304631,47.513865,143
David T. Denny International School,-122.304593,47.513752,144
David T. Denny International School,-122.304769,47.513753,145
David T. Denny International School,-122.304803,47.513753,146
David T. Denny International School,-122.30553,47.513756,147
David T. Denny International School,-122.308036,47.513766,148
David T. Denny International School,-122.308213,47.513767,149
David T. Denny International School,-122.3086,47.513769,150
David T. Denny International School,-122.308987,47.51377,151
David T. Denny International School,-122.309879,47.513774,152
